"Year","Month","ETO_avg","Sol_Rad_avg"
2011,1,0.0333548387096774,199.993548387097
2011,2,0.0715714285714286,318.910714285714
2011,3,0.0982903225806452,385.148387096774
2011,4,0.1604,544.26
2011,5,0.205645161290323,616.090322580645
2011,6,0.242666666666667,655.25
2011,7,0.27158064516129,684.296774193548
2011,8,0.247193548387097,625.9
2011,9,0.202333333333333,514.973333333333
2011,10,0.117225806451613,382.558064516129
2011,11,0.059,258.736666666667
2011,12,0.047,239.08064516129
2012,1,0.0554838709677419,246.512903225806
2012,2,0.0862758620689655,320.934482758621
2012,3,0.119064516129032,420.683870967742
2012,4,0.164466666666667,533.046666666667
2012,5,0.246870967741935,667.387096774194
2012,6,0.281266666666667,707.116666666667
2012,7,0.279451612903226,678.335483870968
2012,8,0.267064516129032,621.945161290323
2012,9,0.207833333333333,511.38
2012,10,0.123290322580645,373.154838709677
2012,11,0.0666666666666667,267.153333333333
2012,12,0.0370967741935484,201.967741935484
2013,1,0.0473870967741935,248.716129032258
2013,2,0.0789285714285714,342.125
2013,3,0.132870967741935,433.735483870968
2013,4,0.201766666666667,574.633333333333
2013,5,0.244258064516129,640.696774193548
2013,6,0.2818,680.47
2013,7,0.290354838709677,670.816129032258
2013,8,0.256483870967742,629.390322580645
2013,9,0.198733333333333,519.356666666667
2013,10,0.124258064516129,373.093548387097
2013,11,0.0732666666666667,282.47
2013,12,0.0513548387096774,243.551612903226
2014,1,0.0673548387096774,251.125806451613
2014,2,0.0841071428571429,306.167857142857
2014,3,0.135774193548387,435.961290322581
2014,4,0.185833333333333,559.04
2014,5,0.253516129032258,656.383870967742
2014,6,0.293033333333333,708.75
2014,7,0.289258064516129,664.335483870968
2014,8,0.260709677419355,617.825806451613
2014,9,0.206366666666667,512.046666666667
2014,10,0.14,390.616129032258
2014,11,0.063,271.43
2014,12,0.0389032258064516,215.258064516129
2015,1,0.0400645161290323,230.029032258065
2015,2,0.0809285714285714,320.332142857143
2015,3,0.145774193548387,449.88064516129
2015,4,0.192466666666667,563.75
2015,5,0.220225806451613,621.583870967742
2015,6,0.284066666666667,671.976666666667
2015,7,0.282096774193548,658.696774193548
2015,8,0.259161290322581,613.906451612903
2015,9,0.208166666666667,500.68
2015,10,0.131903225806452,378.983870967742
2015,11,0.0627666666666667,284.013333333333
2015,12,0.0411612903225806,220.238709677419
2016,1,0.0410645161290323,219.106451612903
2016,2,0.0843793103448276,334.524137931034
2016,3,0.121290322580645,431.483870967742
2016,4,0.181533333333333,537.073333333333
2016,5,0.228967741935484,621.6
2016,6,0.294933333333333,685.416666666667
2016,7,0.295548387096774,683.338709677419
2016,8,0.260935483870968,624.561290322581
2016,9,0.2059,520.246666666667
2016,10,0.125,368.774193548387
2016,11,0.0694,281.913333333333
2016,12,0.0381935483870968,219.529032258065
